song_id,Title,Artist
83,Liyathambara Mudu Kusumaki Aae,Athma Liyanage
84,Lokayen Yamu,Nilan Hettiarachchi
287,Lu (Numba Nomathi Dihawaka),Tharindu Damsara
85,Ma Hadawala ,Bathiya n Santhush ft Rookantha
86,Ma Oba Hamuwana Dinaye,Pasan Liyanage Tharaka Gunarathna
87,Mage Kiya Eth Wela,Athula Adikari
296,Mage ne,Soorya Dayaruwan
298,Mage punchi rosa male , Amarasiri Peiris
281,Mage sihine obai,Bathiya n Sathush
88,Mage Unmade,Sangeeth Iddamalgoda
89,Maha Warusawata Pasuwa Nagena Sanda,Somathilaka Jayamaha
229,Mahamaaya,Supun Perera
90,Mal Madahasa,"Randhir, Bhathiya, Umaria"
91,Mal Mitak Thiyanna,Kasun Kalhara
92,Mal pan podak,Bathiya n Sathush
93,Malak Une Ai Numba Mata,Amarasiri Peiris
308,Malakuth thibuna,"Chithral Somapala, Umara Sinhawansha"
223,Man ithaliye thani una,Danapala Udawaththa
94,Mana Bandu,Lahiru Perera x Anushka Udana
307,Manamali,Infaas & Iraj Ft. Janani
249,Mandakini,Romesh Sugathapala
221,Mandaram Wahi Watena,6th Lane
95,Mankiniye,Prithvi Akash
96,Marambari Kola Wee,Edward Jayakody
97,Maraya[2018],"IRAj fr. Big Doggy, Chey Nyn, Master D & Spin"
98,Marunu Hithe,Lahiru Perera x Anushka Udana
301,Master sir   ,Bathiya n Santhush
277,Mata Rawana,Lahiru Perera
262,Math mage hitha,"Pasan Liyanage, Tharaka Gunarathne"
99,Mathakai Eda,Billy Fernando & Umaria Sinhawansa
292,Mathakaida ada wage,Meena Prasadini
100,Mathakaya Asurin Sihiyata Gannata,Indrani Perera
101,Mawena,Yasas Medagedara ft. Thisija Uthpala
102,Mayam Kalawe,Nadeemal Perera
250,Mayawee,Pradeep Rangana
103,Me Avurudu Kale ,Lional Ranwala
304,Me diganthayeee,Rookantha Gunathilaka
104,Me Hitha Thaniyen,Athma Liyanage ft Thilina Ruhunage
246,Me mal yaye ,Edward Jayakody
105,Me Sanda Unath Paya Awith,Buddika Ushan
106,Me Tharam Siyumalida Kalugal,Sunil Edirisinghe
107,Meeduma Uthurana,Bathiya n Santhush
108,Mey Jeewithe,Bathiya n Santhush
109,Mihiravi ,Romesh Sugathapala
110,Mihirawa Awa,Sajitha Anthony
111,Mumunanawa,Bathiya & Santhush
276,Muwa muktha latha,Edward Jayakody
112,Na Thawath Hithak,Athma Liyanage
113,Nadagam Geeya,Ridma Weerawardena x Charitha Atalage
114,Nadee Ganga Tharanaye,Chitral Chity Somapala
115,Nalawena Sulagak,Athula Adhikari
116,Nattami,Sadara Bandara & Sadeeshe Mohotti
117,Natuwen Gilihunu Pinna Malak,Priyal Amarasinghe
268,Naukawa,Dhanith Sri
118,Nawathi Methekin,Kasun Kalhara
119,Neela Kobei Rana Adii,W D Amaradeva
120,Neela Nimnaye,BnS & Nirosha Virajini
244,Nethu dahan,Edward Jayakody
121,Nethu Kalma Ma Welai,Bathiya n Santhush
122,Nethu Saluna,Romesh & Lakshan
123,Nimnawiye,"IRAJ ft. Nadeera, Shermaine Willis & Master D"
124,Ninda Noyana Handawe,Ranidu Lankage
125,Nirayase,WePlus
126,Niwaduwatath Man Dan Sankawen,Sangeeth Wijesuriya
261,Numbada bimba,YAKA ft Chamod
127,Nura wasanthe,Nadeemal Perera
128,Nurawee,Sandeep Jayalath
306,Oba apple malak wage,Amarasiri Peiris
129,Oba Dakala,Yuki
130,Oba Dutu E Mul Dine,Dushan Jayathilaka
278,Oba Enna Aye,Bathiya n Santhush
131,Oba Ha Mema Athinath Aran,T M Jayarathna
132,Oba Heenayak Wage Hadu Wessak Aran,Deepika Priyadarshani Peries
303,Oba Kamathi Nam,Billy Fernando
133,Oba Kauda,Athula Adhikari ft. Samitha Mudunkotuwa
134,Oba Magemai,Ranidu Lankage
135,Oba Nisa,Bathiya & Santhush
136,Obage Mathaken,Shihan Mihiranga
137,Oya Magenam,Bathiya n Santhush ft Umara
138,Paaren ,Sanuka Wickramasinghe
139,Pamawee Pipunu Mal Suwandai,Kasun Kalhara & Uresha Ravihari
140,Pandama,Danith Dri
248,Pawena kodu akase,Samitha Mudunkotuwa
141,Pawena Loke,Cairo Rich ft. Aj Leon
142,Paya Ena Sanda Watha Manaram,Bathiya n Santhush
143,Pera Dinayaka Ma Pem Kala Yuwathiya,W D Amaradeva
144,Perada Mawu Sina,Shihan Mihiranga
145,Perawadanak,Sanuka Wickramasinghe
146,Pini Binduwak Wennata Asai,Bathiya n Santhush
147,Pinna Male Suda Anna Gihin Wada,Edward Jayakody
148,Pitasakwala Yaane,Cairo Rich
252,Piyawuna,Indrachapa Liyanage
149,Prarthanawe,Radeesh Vandebona
150,Prasiddiya Ko,Cairo Rich ft. Pazi
227,Prathihari,Supun Perera
288,Prema sajjayanaya,Tharindu Damsara
275,Premaye wil there ,Malani Bulathsinhala
285,Premayen mana ranjitha we,Nishshanka Diddeniya
222,Ra ahase,Billy
151,Ra Ahasin Wetena Bindu Bindu,Kasun Kalhara
152,Ra Pura Payana Tharuka,Bathiya n Santhush
153,Ra Thisse Awilla,BnS x RnL x Sureni x Shihan x Samitha x Daddy
251,Raata man,Romesh Sugathapala
228,Radhawani,Supun Perera
290,Radical paththini,Tharindu Damsara
154,Rahase Handana Apa Hagum,Clerence Wijewardena & Neela Wickramasinghe
235,Rahath himiwaru,"Ravi Jay, Dhyan Hewage"
155,Rambari,Lahiru Perera x Anushka Udana
156,Ran Dakaththen,Centigradz
157,Ran Kurahan Mala,Bathiya n Santhush
242,Ran wan mal dam,Centigradz
158,Rangume ,Umariya Sinhawansa
159,Reta Mang,Romesh ft Jithmi
160,Ridena Noriddena,Sanka Dineth
289,Robarosiyan,"Kalpana Kavindi, Tharindu Damsara"
161,Rodha Bandila,Kasun Kalhara
162,Ron Podak,Athula Adhikari
163,Rosa Kalpna ,Sanka Dineth
164,Ru Sara,Bathiya & Santhush
165,Runawiye,DKM ft. YAKA
166,Sada Eliya Gala Ena,Asanka Priyamantha
167,Sadha Ebennnepa,Athula Adhikari ft. Samitha Mudunkotuwa
168,Sadha Oba Mage,Athula Adhikari
169,Sadha Tharu Mal Mata Dan Dun,Athula Adhikari ft. Samitha Mudunkotuwa
170,Samawak na,Cairo Rich
171,Sanda Latha Payala,Keerthi Paskuwel
172,Sanda Nawath Kamak Nathe ,Asanka Priyamantha
255,Sanda pahan raye,Indika Upamali
173,Sanda Thaniyama,Nirosha Virajini
174,Sandaganawa,Dhanith Sri
175,Sandanari,Harsha Withanage
