song_id,Title,Artist,artist_id,Album,Genre,Lyrics Composer
294,Iduwari,Ruwan Hettiarachchi,,,,
61,Iki Gasa Hadana Atheethayaka,Amarasiri Peiris,1,,,Amila Thenuwara
62,Iwasaida Manda,Athula Adhikari ft. Samitha Mudunkotuwa,54 ft. 22,,,
63,Iwasanna Bari Tharam,Dilshan Weerasinghe,116,"B Plus Music, Vol.4.",,Rachitha Vakishta
64,Jeewithaye Sundara Bawa,Charitha Priyadarshani,26,,,Kusum Ranathunga
65,Kaada Raja (Revised Mix),Iraj Weeraratne,11,No Album,,
66,Kaasi,Sameera Weerasinghe,Sameera Weerasinghe,,,
67,Kalakanni loke,Neo ft. Freaky MobBig,Neo ft. Freaky MobBig,,,
68,Kalu Hitha,Cairo Rich,100,Black Heart,,
69,Kamaniya,Ruwan Hettiarachchi ft. Kapilan Kugavel,85 ft. Kapilan Kugavel,,,
70,Kampa Nowan Mahamaya(Nissara Wu Sansaraye),Supun Perera,37,,,
253,Kandulu irthuwe,Nadeeka Guruge,,,,
71,Katawath Ba,Chamila Madushan,Chamila Madushan,Thaala,,
72,Kath Kawuruwath Nathi Bawa,Amarasiri Peiris,1,,,
73,Kaulu Piyan Path Wahanna,Kasun Kalhara,5,,,
74,Kawada Ho (Laga Nathi Bawa Danenawa,Bathiya n Santhush,79,,,
75,Kawikaariye,Bathiya n Santhush,79,,,
76,Kawiya Oba,Deepika Priyadarshani Peries,91,,,
77,Kiri Kodu Hithata,BnS & Nirosha Virajini,79 & 21,,,
272,Ko ma pathu nube adare,T.M.Jayaratne,9,,,
78,Kohe Yannada Ma,Bachi Susan,10,No Album,,Sampath Fernandopulle
269,Kshemaye nagare,Hiran Kanchana,,,,
79,Kuweni ,Ridma Weerawardena ft Dinupa Kodagoda,15,Galana Ganga,,Chandrasena Thalangama
80,Labhadiye,Lahiru Perera x Anushka Udana,12,Sulang Kurullo [Episode 24],,
81,Landune,Amarasiri Peiris,1,,,
82,Lanka Matha,Bathiya n Santhush,79,,,
83,Liyathambara Mudu Kusumaki Aae,Athma Liyanage,89,,,
84,Lokayen Yamu,Nilan Hettiarachchi,104,,,
287,Lu (Numba Nomathi Dihawaka),Tharindu Damsara,,,,
85,Ma Hadawala ,Bathiya n Santhush ft Rookantha,"79 ,41",,,
86,Ma Oba Hamuwana Dinaye,Pasan Liyanage Tharaka Gunarathna,70,,,
87,Mage Kiya Eth Wela,Athula Adikari,54,,,
296,Mage ne,Soorya Dayaruwan,,,,
298,Mage punchi rosa male , Amarasiri Peiris,,,,
281,Mage sihine obai,Bathiya n Sathush,79,,,
88,Mage Unmade,Sangeeth Iddamalgoda,102,,,
89,Maha Warusawata Pasuwa Nagena Sanda,Somathilaka Jayamaha,60,,,Sunil Sarath Perera
229,Mahamaaya,Supun Perera,37,,,
