user_id,age_group,gender,profession,hours_spending,musical_aspect,listened_songs,song_id
10360,18 - 24,Female,Student,0 - 1,The singer's voice,Sandaganawa,174
10361,18 - 24,Female,Student,0 - 1,The singer's voice,Gayamu dawasaka,297
10362,18 - 24,Female,Student,0 - 1,The singer's voice,Adare sithum,8
10363,18 - 24,Female,Student,0 - 1,The singer's voice,Sharadha,186
10364,18 - 24,Female,Student,0 - 1,The singer's voice,Unmadini hanguna,210
10365,18 - 24,Female,Student,0 - 1,The singer's voice,"Kawiya
",76
10366,18 - 24,Female,Student,0 - 1,The singer's voice,Sanda Nawath Kamak Nathe ,172
10367,18 - 24,Female,Student,0 - 1,The singer's voice,Maath mage hitha hadagannam,262
10368,18 - 24,Female,Student,0 - 1,The singer's voice,Nura wasanthe,127
10369,18 - 24,Female,Student,0 - 1,The singer's voice,Maa oba hamuwana dinaye,86
10370,18 - 24,Female,Student,0 - 1,The singer's voice,Mihirawa awa,110
10371,18 - 24,Female,Student,0 - 1,The singer's voice,Me tharam siyumalida kalu gal,106
10372,18 - 24,Female,Student,0 - 1,The singer's voice,Sulagak Wela Oba Soya Enna One,200
10373,18 - 24,Female,Student,0 - 1,The singer's voice,Thurul Wenna Asai,206
10374,18 - 24,Female,Student,0 - 1,The singer's voice,Piyawuna,252
10375,18 - 24,Female,Student,0 - 1,The singer's voice,Perada Mawu Sina,144
10376,18 - 24,Female,Student,0 - 1,The singer's voice,Pawela kodu aakase,248
10377,18 - 24,Female,Student,0 - 1,The singer's voice,Siyumali,192
10378,18 - 24,Female,Student,0 - 1,The singer's voice,Boralu anena,309
10379,18 - 24,Female,Student,0 - 1,The singer's voice,Kaulu piyanpath,73
10380,18 - 24,Female,Student,0 - 1,The singer's voice,Adare sithum,8
10381,18 - 24,Female,Student,0 - 1,The singer's voice,Ananthayata yana para dige,14
10382,18 - 24,Female,Student,0 - 1,The singer's voice,Labandiye,80
10383,18 - 24,Female,Student,0 - 1,The singer's voice,Hawasaka maa,49
10384,25 - 34,Male,Implementation engineer,more than 5,The singer's voice,Chandrayan pidu,26
10385,25 - 34,Male,Implementation engineer,more than 5,The singer's voice,unmadini hanguna,210
10386,18 - 24,Female,Student,3 - 5,The singer's voice,Nadagam giya,113
10387,18 - 24,Female,Student,3 - 5,The singer's voice,pandama,140
10388,18 - 24,Female,Student,3 - 5,The singer's voice,kuweni,79
10389,18 - 24,Female,Student,3 - 5,The singer's voice,naukawa,268
10390,18 - 24,Female,Student,3 - 5,The singer's voice,radawani,228
10391,18 - 24,Female,Student,0 - 1,The singer's voice,Malakuth thibuna,308
10392,18 - 24,Male,student,1 - 3,The singer's voice,Roo sara ,164
10393,18 - 24,Male,student,1 - 3,The singer's voice,Yaal Panamen,218
10394,18 - 24,Male,student,1 - 3,The singer's voice,Jeewithaye Sundara Bawa,64
10395,18 - 24,Male,student,1 - 3,The singer's voice,Chandrayan Pidu,26
10396,18 - 24,Male,student,1 - 3,The singer's voice,Manamali,307
10397,18 - 24,Female,Student,0 - 1,Music,Soya Awa,196
10398,18 - 24,Female,Student,1 - 3,The message of the song,Kuweniye,79
10399,18 - 24,Female,Student,1 - 3,The message of the song,Sandaganawa,174
10400,18 - 24,Female,Student,1 - 3,The message of the song,Thawa dawasak,263
10401,18 - 24,Female,Student,1 - 3,The message of the song,Mage Unmade,88
10402,18 - 24,Female,Student,1 - 3,The message of the song,Oba apple malak wage,306
10403,18 - 24,Female,Student,1 - 3,The message of the song,landune,81
10404,18 - 24,Female,Student,1 - 3,The message of the song,malak une,93
10405,18 - 24,Female,Student,1 - 3,The message of the song,mage punchi rosa male,298
10406,18 - 24,Female,Student,1 - 3,The message of the song,Hanguman,225
10407,18 - 24,Female,Student,1 - 3,The message of the song,Wikasitha pem pokuru pium,217
10408,18 - 24,Female,Student,1 - 3,The message of the song,Ayage Sinaha,20
10409,18 - 24,Female,Student,1 - 3,The message of the song,Prasiddiya Ko,150
10410,18 - 24,Female,Student,1 - 3,The message of the song,Kandulu irthuwe,253
10411,18 - 24,Female,Student,1 - 3,The message of the song,Baila Gamuda,21
10412,18 - 24,Female,Student,1 - 3,The message of the song,Perawadanak,145
10413,18 - 24,Female,Student,1 - 3,The message of the song,Pandama,140
10414,18 - 24,Female,Student,1 - 3,The message of the song,Sandaganawa,174
10415,18 - 24,Female,Student,1 - 3,The message of the song,Sandanari,175
10416,18 - 24,Female,Student,1 - 3,The message of the song,Oba Dakala,129
10417,18 - 24,Female,Student,1 - 3,The message of the song,hanthanata payana sanda,48
10418,18 - 24,Female,Student,1 - 3,The message of the song,mage punchi rosa male,298
10419,18 - 24,Female,Student,1 - 3,The message of the song,Mandaram Wahi Watena,221
10420,18 - 24,Female,Medical Student,1 - 3,All,Ae,311
10421,18 - 24,Female,student,0 - 1,Music,sandanari,175
10422,18 - 24,Female,student,0 - 1,Music,ru sara,164
10423,18 - 24,Female,student,0 - 1,Music,saragaye,179
10424,18 - 24,Female,student,0 - 1,Music,Oba Dakala,129
10425,25 - 34,Male,Planner,0 - 1,The singer's voice,Chakithaya,24
10426,25 - 34,Male,Lecturer,1 - 3,The message of the song,Sharadha ,186
10427,25 - 34,Male,Lecturer,1 - 3,The message of the song,Adaraneeya Neranjana ,305
10428,18 - 24,Female,student,0 - 1,Music,Perawadanak,145
10429,18 - 24,Female,student,0 - 1,Music,ananthayata yana para digee,14
10430,18 - 24,Female,student,0 - 1,Music,Sanda Thaniyama,173
10431,18 - 24,Female,student,0 - 1,Music,Me diganthayeee,304
10432,18 - 24,Female,student,0 - 1,Music,Oba Kamathi Nam,303
10433,18 - 24,Female,student,0 - 1,Music,Anatha maruthe ,302
10434,18 - 24,Female,student,0 - 1,Music,Master sir   ,301
10435,18 - 24,Female,student,0 - 1,Music,Wala thiryen eha,300
10436,18 - 24,Female,student,0 - 1,Music,aduru kutiya thula ,299
10437,18 - 24,Female,student,0 - 1,Music, nadee ganga tharanayee,114
10438,18 - 24,Female,student,0 - 1,Music,Nimnawiye,123
10439,18 - 24,Female,student,0 - 1,Music,Tharuka Pelin Eha,205
10440,18 - 24,Female,student,0 - 1,Music,mage punchi rosa male ,298
10441,18 - 24,Female,student,0 - 1,Music,hanthana sihine,47
